ppm,Rs/Ro
199.235,3.05223,
496.244,2.25940,
801.730,1.90722,
998.400,1.75527,
1508.06,1.52326,
2002.84,1.35890,
2981.41,1.15093,
4974.39,0.935161,
10008.4,0.701707,
