ppm,Rs/Ro
199.796,3.38741,
497.666,2.39682,
801.691,1.99530,
998.352,1.83634,
1503.57,1.60471,
1991.06,1.42164,
2981.30,1.19160,
4974.39,0.935161,
9980.64,0.612816,
