ppm,Rs/Ro
199.360,1.69713,
498.084,1.09335,
800.030,0.900755,
993.390,0.817553,
1500.56,0.680529,
2004.61,0.594583,
2966.69,0.496635,
4993.64,0.388409,
9989.05,0.278578,
