ppm,Rs/Ro
201.004,2.85736,
500.670,2.04295,
801.816,1.72449,
995.578,1.60929,
1508.20,1.39659,
1985.52,1.25021,
2990.30,1.09251,
4960.16,0.884610,
9979.86,0.659181,
