ppm,Rs/Ro
199.956,1.60540,
499.559,1.05971,
802.406,0.866996,
993.438,0.781462,
1505.02,0.652753,
1993.00,0.572292,
2975.56,0.468165,
4994.03,0.361090,
9960.67,0.258983,
