ppm,Rs/Ro
199.901,2.07586,
499.427,1.35605,
802.206,1.09414,
999.005,0.996535,
1504.64,0.823767,
1998.35,0.717230,
2983.55,0.586732,
4992.72,0.462066,
9987.24,0.330258,
